Fecha ,Colonia,Incidentes
01/07/2024,Guamuchil,1
01/07/2024,Zona Dorada,1
01/07/2024,Narnia,1
24/07/2024,Aguaruto,1
15/07/2024,San Rafael,1
03/07/2024,Los Angeles,1
01/07/2024,Infonavit Las Flores,1
29/08/2024,Valle alto,2
26/08/2024,Country Club Culiacán,1
01/08/2024,El Palmito,1
16/08/2024,Colonia Antonio Nakayama,1
07/08/2024,"Fraccionamiento Capistrano, Culiacán",1
17/07/2024,Emiliano Zapata,1
14/08/2024,Pancho Villa,1
11/08/2024,Los Pinos,1
16/08/2024,Colonia Las Cañadas,1
17/08/2024,El Mirador,1
15/08/2024,Colonia Los Huizaches,1
17/08/2024,Prados del Sur,1
09/08/2024,colonia El Ranchito,1
13/08/2024,Colonia Antorchista,1
01/08/2024,Alturas del Sur,1
17/08/2024,Alturas del Sur,1
28/07/2024,Las Coloradas,1
23/07/2024,Vista Hermosa,1
18/07/2024,Las Coloradas,1
22/07/2024,Esperanza,1
22/08/2024,Guadalupe,1
28/08/2024,colonia Luis Donaldo Colosio,1
12/07/2024,Colonia 5 de Mayo,1
25/08/2024,Prolongación Álvaro Obregón,1
31/08/2024,Colonia Antorchista,1
29/08/2024,Valle alto,1
23/07/2024,El Carrizalejo,1
21/07/2024,Ampliación?El?Barrio,1
10/07/2024,Ayuné,1
01/07/2024,Zona Dorada,1
19/07/2024,Lomas del Magisterio,1
25/07/2024,Jesús Valdez,1
07/07/2024,El Mirador,1
28/08/2024,Tierra Blanca,1
27/08/2024,Desarrollo Urbano Tres Ríos,1
16/08/2024,Congreso del Estado,1
27/07/2024,Centro,1
18/07/2024,Las Quintas,1
01/07/2024,Los Mayos,1
16/08/2024,Isla Musala,1
01/07/2024,Santa fe,1
01/07/2024,Colonia 6,1
16/08/2024,Las Quintas,1
11/07/2024,Guadalupe Victoria,1
,,
23/10/2024,El Diez,1
16/10/2024,El Diez,1
12/10/2024,El Diez,1
25/09/2024,"Libramiento Benito Juárez, La Costerita",1
17/10/2024,El Ranchito,1
26/10/2024,El Ranchito,1
23/09/2024,El Ranchito,1
18/09/2024,El Barrio,1
09/09/2024,El Tule,1
10/09/2024,Parque Funeral San Martín Culiacán,1
07/10/2024,Nuevo Bachigualato,1
18/10/2024,Terranova,1
15/10/2024,Valles Españoles,1
08/10/2024,Rincón del Valle,1
30/10/2024,Rincón del Valle,1
14/10/2024,Campo El Sol,1
11/09/2024,Infonavit Barrancos,1
07/10/2024,Punta Azul,1
12/10/2025,Urb Villas del Roble,1
11/10/2024,Barrancos,1
04/10/2024,Barrancos,1
12/10/2024,Barrancos,1
10/10/2024,Pemex,1
09/10/2024,El Palmito,1
17/09/2024,El Palmito,1
07/10/2024,Díaz Ordaz,1
25/10/2024,Díaz Ordaz,1
13/10/2024,Aquiles Serdán,1
02/10/2024,Feria Ganadera,1
15/09/2024,Colinas del Bosque,1
11/10/2024,Hacienda del Valle,1
14/10/2024,Lomas de San Isidro,1
02/09/2024,Progreso,1
14/10/2024,Progreso,1
19/10/2024,"Fraccionamiento Tres Ríos, Culiacán",1
02/10/2024,Feria Ganadera,1
22/09/2024,22 de diciembre,1
15/09/2024,Miguel de la Madrid,1
25/09/2024,Francisco Villa,1
04/10/2024,Emiliano Zapata,1
28/10/2024,El Vallado,1
18/10/2024,Los Huizaches,1
23/10/2024,Francisco I. Madero,1
15/10/2024,Francisco I. Madero,1
19/10/2024,Lázaro Cárdenas,1
05/10/2024,Huizaches,1
13/09/2024,Simón Bolivar,1
26/09/2024,Lázaro Cárdenas,1
16/10/2024,Buenos Aires,1
08/10/2024,Nueva Galicia,1
27/09/2024,Alturas del Sur,1
18/10/2024,Mercado de Abastos,1
26/10/2025,Parque Culiacán 87,1
29/10/2024,Rafael Buelna,1
12/09/2024,Montebello,1
19/09/2024,Montebello,1
30/10/2024,Morelos,1
05/10/2024,Emiliano Zapata,1
12/09/2024,Colinas de San Miguel,1
28/10/2024,Rafael Buelna,1
25/10/2024,5 de Mayo,1
15/10/2024,Novena Zona Militar,1
20/10/2024,Guadalupe,1
26/10/2024,Benito Juárez,1
26/10/2024,Cañadas,1
31/10/2024,Quilá,1
26/10/2024,Miguel Alemán,1
24/10/2024,Miguel Alemán,1
16/10/2024,Jorge Almada,1
23/10/2024,Plan de Oriente,1
20/10/2024,Primer Cuadro,1
20/10/2024,Centro,1
16/10/2024,Fraccionamiento Alturas del sur,1
15/10/2024,Alturas del Sur,1
30/09/2024, Alturas del Sur,1
13/10/2024,Monte Verde,1
12/09/2024,Las Coloradas,1
22/10/2024,San Benito,1
22/09/2024,Laurel Pinos,1
09/10/2024,21 de marzo,1
21/10/2024,Emiliano Zapata,1
05/10/2024,21 de marzo,1
15/09/2024,Colonia 5 de febrero,1
14/10/2024,Villa del Real,1
10/10/2024,7 gotas,1
24/10/2024,Emiliano Zapata,1
13/10/2024,El Barrio,1
25/10/2024,Guadalupe Victoria,1
16/09/2024,Carrizalejo,1
24/10/2024,El Barrio,1
10/10/2024,El Barrio,1
10/10/2024,Stanza Torralba,1
29/10/2024,El Carrizalejo,1
21/10/2024,Villas del Real,1
24/09/2024,Guadalupe Victoria,1
03/10/2024,Guadalupe Victoria,1
17/09/2024,Guadalupe Victoria,1
18/09/2024, Guadalupe Victoria,1
21/10/2024,Tres Ríos,1
10/10/2024,Miguel Hidalgo,1
28/09/2024,Villa Satélite,1
18/09/2024,Miguel Hidalgo,1
11/10/2024,Aurora,1
16/09/2024,La Campiña,1
09/09/2024,La Campiña,1
31/10/2024,Las Quintas,1
13/10/2024,La Campiña,1
01/10/2024,Las Quintas,1
19/10/2024,Molino de Flores,1
28/09/2024,Las Quintas,1
19/10/2024,Isla Musala,1
03/10/2024,Las Quintas,1
30/10/2024,Puente El sinaloense,1
28/09/2024,Rafael Buelna,1
11/09/2024,Las Quintas,1
26/10/2024,Pueblos Unidos,1
29/09/2024,Centro,1
30/09/2024,Centro,1
23/10/2024,Infonavit Humaya,1
14/09/2024,Tres Ríos,1
05/09/2024, Tres Ríos,1
09/09/2024,Quilá,1
27/10/2024,Chapultepec,1
09/10/2024,Chapultepec,1
14/10/2024,Chapultepec,1
26/10/2024,Tierra Blanca,1
18/10/2024,Obrero Campesino,1
12/09/2024,Riberas de Tamazula,1
16/10/2024,Ignacio Allende,1
09/10/2024,Rosario Uzárraga,1
29/09/2024,Zona Dorada,1
28/09/2024,Las Glorias,1
13/09/2024,Albaterra,1
02/10/2024,Gustavo Díaz Ordaz,1
18/09/2024,Lomas del Magisterio,1
09/10/2024,Centro,1
11/09/2024,Colonia 16 de septiembre,1
10/10/2024,El Mirador,1
30/09/2024,Tres Ríos,1
05/10/2024,Tres Ríos,1
23/10/2024,Infonavit Humaya,1
04/10/2024,Lázaro Cárdenas,1
08/10/2024,Congreso del Estado,1
25/10/2024,Privanzas Reserva Urbana,1
14/10/2024,Juntas del Humaya,1
20/10/2024,Montecarlo,1
24/09/2024,Horizontes,1
11/10/2024,Universidad Autónoma de Occidente,1
30/09/2024,Infonavit Las Flores,1
18/09/2024,Country Alamos,1
09/09/2024,Los Ángeles,1
11/10/2024,Valle Alto,1
20/09/2024,Villas del Río,1
30/10/2024,Villas del Río,1
12/10/2024,Villas del Río,1
14/09/2024,Huertos del Pedregal,1
15/09/2024,Fraccionamiento Acueducto,1
16/10/2024,Pradera Dorada,1
15/10/2024,Portalegre,1
20/10/2024,Infonavit Humaya,1
13/10/2024,Cuauhtémoc,1
24/09/2024,Tulipanes,1
12/10/2024,Riberas del Humaya,1
10/09/2024,Santa Fe,1
18/09/2024,Santa Fe,1
14/10/2024,Santa Fe,1
22/10/2024,Colinas del Bosque,1
21/10/2024,Espacios Barcelona,1
,,
16/11/2024,El Trebol,1
03/12/2024,Campo el Diez,3
20/11/2024,El Diez,1
20/12/2024,El Ranchito,1
23/12/2024,La Primavera,1
19/11/2024,La Costera,1
19/12/2024,Jesus Manuel Gámez Valdez,1
02/12/2024,El Ranchito,2
29/11/2024,Alturas del Sur,1
28/11/2024,La costerita,1
28/12/2024,Fraccionamiento Punta Azul,1
14/12/2024,Villa Colonial,1
28/11/2024,Progreso,1
29/12/2024,Parque Andares,1
16/11/2024,San Isidro,1
07/12/2024,Perisur 2,1
15/11/2024,Perisur,1
26/12/2024,Progreso,1
29/11/2024,Renato Vega Alvarado,1
13/11/2024,Emiliano Zapata,1
08/12/2024,Ley Palmito,1
17/12/2024,Salvador Alvarado,1
29/11/2024,Loma Linda,1
12/12/2024,Libertad,1
05/11/2024,Barrancos,1
25/11/2024,Barrancos,1
13/11/2024,Barrancos,1
28/11/2024,Ferrocarrilera,1
28/12/2024,Ferrocarrilera,1
10/11/2024,Felipe Ángeles,1
08/12/2024,Independencia,1
25/11/2024,Adolfo López Mateos,1
19/11/2024,Hacienda del Valle,1
16/11/2024,San Isidro,1
11/11/2024,Bellavista,1
01/11/2024,Antonio Toledo Corro,1
22/11/2024,Lomas de San Isidro,1
19/11/2024,El Ranchito,1
13/12/2024,Infonavit Las Flores,1
04/12/2024,Recursos Hidráulicos,1
27/11/2024,Las Flores,1
07/11/2024,Centro,1
09/11/2024,Las piedritas,1
26/11/2024,El Ranchito,1
31/12/2024,Benito Juárez,1
09/12/2024,Montebello,1
05/11/2024,Montebello,1
16/12/2024,Primer Cuadro,1
08/11/2024,Miguel Aleman,1
13/11/2024,Quila,1
28/12/2024,Antonio Rosales,1
11/12/2024,Antonio Rosales,1
01/12/2024,5 de mayo,1
11/12/2024,5 de mayo,1
17/12/2024,Guadalupe,1
25/11/2024,Sector La Lomita,1
03/11/2024,Loma Linda,3
24/11/2024,Buenos Aires,1
02/11/2024,Colinas del Rey,1
24/11/2024,Cúspide,1
24/12/2024,Sector Cañadas,1
22/11/2024,Montebello,1
18/12/2024,Montebello,1
17/12/2024,Rafael Buelna,1
07/12/2024,Buenos Aires,1
23/11/2024,Buenos Aires,2
17/11/2024,Francisco I. Madero,1
15/11/2024,Calle Solidaridad,1
20/12/2024,Francisco Labastida Ochoa,1
29/11/2024,Antonio Toledo Corro,1
29/11/2024,Los Huizaches,1
04/12/2024,Prados del Sur,1
28/11/2024,La Costera,1
28/11/2024,Villa Bonita,1
20/11/2024,Renato Vega Alvarado,1
26/11/2024,Prado del Sur,1
16/12/2024,Villa Bonita,1
11/12/2024,Nueva Galicia,1
04/12/2024,Nueva Galicia,1
06/12/2024,Miguel de la Madrid Hurtado,1
29/12/2024,Alturas del Sur,1
,,
01/07/2025,Bachoco ,1
01/07/2025,Plutarco Elías Ca,1
01/07/2025,Bienestar,1
01/07/2025,El Quemadito,1
01/07/2025,Lomas del Magi,1
01/07/2025,Colonia Adolfo L,1
01/07/2025,Centro,1
01/07/2025,Centro,1
01/07/2025,Los Angeles,1
01/07/2025,Quemadito,1
01/07/2025,Adolfo López Mateos,1
01/07/2025,Huizaches ,1
02/07/2025,Huizaches ,1
02/07/2025,Las Coloradas ,1
02/07/2025,Villa Adolfo López Mateos,1
02/07/2025, Valle Alto,1
02/07/2025,Estela Ortiz,1
02/07/2025,Libertad  ,1
02/07/2025,El Salado,1
03/07/2025,Barrancos,1
03/07/2025,Lomas de Boulevares,1
03/07/2025,La Primavera ,1
03/07/2025,Cañadas  ,1
03/07/2025,Campo El Diez ,1
03/07/2025,Humaya ,1
04/07/2025,Sindicatura de Culiacán,1
04/07/2025,Pemex,1
04/07/2025,10 de Mayo,1
04/07/2025,Las Cucas,1
04/07/2025,Cañadas ,1
04/07/2025,Los Mezcales,1
04/07/2025,Obrero Campesina,1
04/07/2025,Campo Cuba ,1
05/07/2025,Campo El Diez ,1
05/07/2025,Pemex  ,1
05/07/2025,Los Pinos,1
05/07/2025,Alturas del Sur,1
05/07/2025,Centro  ,1
05/07/2025,Antonio Nakayama,1
06/07/2025,Lázaro Cárdenas,1
06/07/2025,Villa Bonita,1
06/07/2025,Miguel Hidalgo  ,1
06/07/2025,Centro,1
07/07/2025,Los Mezcales,1
07/07/2025,Alameda ,1
07/07/2025,Fraccionamiento (bulevar Alfonso G.),1
07/07/2025,Chapultepec,1
07/07/2025,Bachigualato ,1
07/07/2025,Alturas del Sur ,1
08/07/2025,La Esperanza ,1
08/07/2025,Lomas de Guadalupe,1
09/07/2025,Gabriel Leyva Solano,1
09/07/2025,Adolfo López Mateos  ,1
09/07/2025,La Esperanza ,1
09/07/2025,Guadalupe Victoria,1
09/07/2025,Adolfo López Mateos,1
09/07/2025,Centro  ,1
09/07/2025,Rosario Uzárraga,1
10/07/2025,Desarrollo Urbano,1
11/07/2025,Miguel Hidalgo,1
11/07/2025,Sindicatura de Aguaruto,1
11/07/2025,Ruben Jaramillo,1
11/07/2025,bulevar Las Torres,1
12/07/2025,Tacuichamona,1
12/07/2025,Guadalupe Victoria ,1
12/07/2025,Urbivillas del Cedro,1
13/07/2025,Cima de San,1
13/07/2025,Costa Rica ,1
13/07/2025,Sindicatura de Tacuichamona,1
13/07/2025,Centro,1
13/07/2025,Humaya ,1
13/07/2025,Benito Juárez,1
14/07/2025,Sindicatura de Culiacán,1
14/07/2025,Colonia Morelos,1
14/07/2025,Colonia 5 de Mayo,1
14/07/2025,bulevar Jesús,1
15/07/2025,Barrancos,1
15/07/2025,Colinas de San Miguel,1
15/07/2025,Congreso ,1
16/07/2025,Rafael Buelna  ,1
16/07/2025,Bella Vista  ,1
16/07/2025,Las Quintas  ,1
16/07/2025,Colonia Libertad  ,1
17/07/2025,Higueras de Abuya  ,1
17/07/2025,Sindicatura de Aguaruto  ,1
08/11/2024,Ampliación San Benito,1
05/11/2024,Zona Dorada,1
18/11/2024,Fraccionamiento Montecarlo,1
19/12/2024,Terranova,2
13/11/2024,El Mirador,1
27/11/2024,Tres Ríos,1
17/11/2024,Bachigualato,1
30/11/2024,Santa Fe,1
13/11/2024,Congreso del Estado,1
28/11/2024,Antonio Rosales,1
05/11/2024,Zona Dorada,1
29/11/2024,Alturas del Sur,1
28/11/2024,Valle Alto,1
04/11/2024,Villa Barcelona,1
09/11/2024,Ampliación El Barrio,1
